ID_Original|ID_Required
BIOL 4640|BIOL 4630
BIOL 4640|BIOL 4630
BIOL 4901|BIOL 2020
BIOL 4901|CHEM 2300
BIOL 4901|CHEM 2400
BIOL 4901|CHEM 3400
BIOL 4902|BIOL 2020
BIOL 4902|CHEM 2300
BIOL 4902|CHEM 2400
BIOL 4902|CHEM 3400
BIOL 4903|BIOL 2020
BIOL 4903|CHEM 2300
BIOL 4903|CHEM 2400
BIOL 4912|BIOL 2020
BIOL 4912|CHEM 2300
BIOL 4912|CHEM 2400
BIOL 4912|CHEM 3400
BIOL 4990|BIOL 2020
BIOL 5000|BIOL 2020
BIOL 5050|MATH 2210
BIOL 5050|BIOL 2020
BIOL 5100|BIOL 3100
BIOL 5130|BIOL 3100
BIOL 5150|BIOL 3100
BIOL 5150|BIOL 3120
BIOL 5150|BIOL 3200
BIOL 5150|BIOL 3300
BIOL 5160|BIOL 5130
BIOL 5170|BIOL 5130
BIOL 5260|BIOL 3100
BIOL 5260|BIOL 3120
BIOL 5260|BIOL 3200
BIOL 5260|BIOL 3300
BIOL 5280|BIOL 3100
BIOL 5280|BIOL 3120
BIOL 5280|BIOL 3200
BIOL 5280|BIOL 3300
BIOL 5300|GEOL 5300
BIOL 5300|BIOL 5300
BIOL 5310|BIOL 3120
BIOL 5310|BIOL 5310
BIOL 5320|BIOL 3100
BIOL 5320|BIOL 3120
BIOL 5320|BIOL 3200
BIOL 5320|BIOL 3300
BIOL 5370|BIOL 3120
BIOL 5370|BIOL 3100
BIOL 5370|BIOL 3200
BIOL 5420|BIOL 3420
BIOL 5420|BIOL 3630
BIOL 5420|BIOL 3640
BIOL 5550|PHYS 2000
BIOL 5550|PHYS 2500
BIOL 5550|BIOL 3400
BIOL 5550|BIOL 3410
BIOL 5550|BIOL 3420
BIOL 5550|BIOL 3430
BIOL 5550|BIOL 3440
BIOL 5550|BIOL 3450
BIOL 5550|BIOL 3460
BIOL 5550|BIOL 3480
BIOL 5550|BIOL 3700
BIOL 5550|BIOL 3800
BIOL 5550|BIOL 3950
BIOL 5670|BIOL 3100
BIOL 5720|BIOL 3700
BIOL 5720|BIOL 3800
BIOL 5820|BIOL 3700
BIOL 5820|BIOL 3800
BIOL 5850|BIOL 3800
BIOL 5860|BIOL 3630
BIOL 5860|BIOL 3640
BIOL 5901|BIOL 3120
BIOL 5902|BIOL 3300
BIOL 5902|BIOL 3700
BIOL 5903|BIOL 3100
BIOL 5905|BIOL 3800
BIOL 5906|BIOL 3300
BIOL 5907|BIOL 3700
BIOL 5908|BIOL 3200
BIOL 5910|BIOL 3520
BIOL 5910|BIOL 3540
BIOL 5910|BIOL 4580
BIOL 5911|BIOL 2020
BIOL 5912|BIOL 3700
BIOL 5912|BIOL 3800
BIOL 5951|BIOL 2020
BIOL 5951|BIOL 5951
BIOL 5952|BIOL 2020
BIOL 5952|BIOL 5951
BIOL 5953|BIOL 2020
BIOL 5953|BIOL 5951
BIOL 5954|BIOL 2020
BIOL 5954|BIOL 5951
BIOL 5955|BIOL 2020
BIOL 5955|BIOL 5951
BIOL 5956|BIOL 2020
BIOL 5956|BIOL 5951
BIOL 6360|BIOL 2200
BIOL 6360|BIOL 3200
BIOL 6370|BIOL 3800
BIOL 6400|BIOL 3300
BIOL 6400|BIOL 3520
BIOL 6951|BIOL 6951
BIOL 6952|BIOL 6951
BIOL 6953|BIOL 6951
BIOL 6954|BIOL 6951
BIOL 6955|BIOL 6951
BIOL 6956|BIOL 6951
CAHU 1112|CAHU 1111
CAL 3250|CAL 3250
CAL 3250|SSCI 3250
CAL 3250|NSCI 3250
CHEM 2050|MATH 1102
CHEM 2060|CHEM 2050
CHEM 2060|CHEM 2100
CHEM 2060|CHEM 2060
CHEM 2060|CHEM 2060
CHEM 2060|CHEM 2060
CHEM 2060|CHEM 2050
CHEM 2060|CHEM 2050
CHEM 2060|CHEM 2100
CHEM 2060|CHEM 2100
CHEM 2060|CHEM 2060
CHEM 2060|CHEM 2060
CHEM 2060|CHEM 2060
CHEM 2060|CHEM 2060
CHEM 2060|CHEM 2060
CHEM 2100|MATH 1401
CHEM 2100|MATH 1403
CHEM 2100|MATH 1601
CHEM 2100|MATH 2210
CHEM 2100|MATH 2220
CHEM 2200|CHEM 2100
CHEM 2200|MATH 1301
CHEM 2200|MATH 1401
CHEM 2200|MATH 1601
CHEM 2200|MATH 2210
CHEM 2200|MATH 2220
CHEM 2200|CHEM 2200
CHEM 2200|CHEM 2200
CHEM 2200|CHEM 2100
CHEM 2200|CHEM 2200
CHEM 2200|CHEM 2200
CHEM 2200|CHEM 2200
CHEM 2200|CHEM 2200
CHEM 2300|CHEM 2200
CHEM 2300|CHEM 2200
CHEM 2300|CHEM 2300
CHEM 2300|CHEM 2500
CHEM 2300|CHEM 3500
CHEM 2400|CHEM 2200
CHEM 2400|CHEM 2200
CHEM 2400|CHEM 2400
CHEM 2400|CHEM 2500
CHEM 2400|CHEM 2400
CHEM 2400|CHEM 3400
CHEM 2400|CHEM 3500
CHEM 2400|CHEM 2400
CHEM 2400|CHEM 2200
CHEM 2400|CHEM 2200
CHEM 2400|CHEM 2300
CHEM 2400|CHEM 2400
CHEM 2400|CHEM 2400
CHEM 2500|CHEM 2400
CHEM 2500|CHEM 2400
CHEM 2500|CHEM 2500
CHEM 2500|CHEM 2400
CHEM 2500|CHEM 2400
CHEM 2500|CHEM 2500
CHEM 2500|CHEM 2400
CHEM 2500|CHEM 2500
CHEM 3200|CHEM 2100
CHEM 3200|CHEM 2200
CHEM 3200|CHEM 2100
CHEM 3200|CHEM 3200
CHEM 3400|CHEM 2200
CHEM 3400|CHEM 2200
CHEM 3400|CHEM 3400
CHEM 3500|CHEM 3400
CHEM 3500|CHEM 3400
CHEM 3500|CHEM 3500
CHEM 3600|CHEM 2500
CHEM 3600|CHEM 3600
